key,name_ar,name_en,banner_image,file,active
fortnite,فورت نايت,Fortnite,cat_fortnite.jpg,fortnite.csv,1
pc_games,العاب البيسي,pc games,https://www.pcgamesn.com/wp-content/uploads/2022/03/xbox-pc-game-pass-9.jpg,pc_games.csv,1
